Package,Built
assertthat,3.5.0
backports,3.5.0
base64enc,3.5.0
BH,3.5.2
bindr,3.5.0
bindrcpp,3.5.0
broom,3.5.0
callr,3.5.0
cellranger,3.5.0
cli,3.5.0
clipr,3.5.2
clisymbols,3.5.0
colorspace,3.5.2
crayon,3.5.0
curl,3.5.2
DBI,3.5.0
dbplyr,3.5.2
desc,3.5.0
digest,3.5.0
dplyr,3.5.0
evaluate,3.5.0
fansi,3.5.0
forcats,3.5.0
fs,3.5.0
generics,3.5.0
ggplot2,3.5.0
gh,3.5.0
git2r,3.5.2
glue,3.5.0
gtable,3.5.0
haven,3.5.0
here,3.5.0
highr,3.5.0
hms,3.5.0
htmltools,3.5.0
httr,3.5.0
ini,3.5.0
jsonlite,3.5.0
knitr,3.5.2
labeling,3.5.0
lazyeval,3.5.0
lubridate,3.5.0
magrittr,3.5.0
markdown,3.5.0
mime,3.5.0
modelr,3.5.0
munsell,3.5.0
openssl,3.5.0
pillar,3.5.0
pkgconfig,3.5.0
plogr,3.5.0
plyr,3.5.0
prettyunits,3.5.0
processx,3.5.0
progress,3.5.0
ps,3.5.0
purrr,3.5.0
R6,3.5.0
RColorBrewer,3.5.0
Rcpp,3.5.0
readr,3.5.0
readxl,3.5.0
rematch,3.5.0
reprex,3.5.0
reshape2,3.5.0
rlang,3.5.2
rmarkdown,3.5.0
rprojroot,3.5.0
rstudioapi,3.5.2
rvest,3.5.0
scales,3.5.0
selectr,3.5.0
stringi,3.5.0
stringr,3.5.0
tibble,3.5.2
tidyr,3.5.0
tidyselect,3.5.0
tidyverse,3.5.0
tinytex,3.5.2
usethis,3.5.0
utf8,3.5.0
viridisLite,3.5.0
whisker,3.5.0
withr,3.5.0
xfun,3.5.0
xml2,3.5.0
yaml,3.5.0
